Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Transaction ID,Listing ID,Date Paid,Date Shipped,Order ID,Variations,Order Type,Listings Type,Payment Type,InPerson Discount,InPerson Location,VAT Paid by Buyer,SKU
04/02/24,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,4,6.75,FINISHSTRONG,FINISHSTRONG - % off,5.70,5.24,0,0,27,USD,4038264129,1363252265,04/02/2024,04/03/2024,3254118151,Sizes:4&quot; × 4&quot;,online,listing,online_cc,,,0,23435239439601723973
04/02/24,Light The Beam Crown Die Cut Sticker,6,5.00,FINISHSTRONG,FINISHSTRONG - % off,0,0,0,0,30,USD,4038264127,1608707534,04/02/2024,04/03/2024,3254118151,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
03/31/24,Light the Beam Sacramento Basketball Tee - Baby Short Sleeve Onesie,1,18.00,,,0.00,0.00,4,0,18,USD,4036413209,1370083289,03/31/2024,04/02/2024,3252658695,"Colors:Pink,Sizes:6-9M",online,listing,online_cc,,,0,33923937794249164083
03/28/24,Light the Beam Sacramento Basketball Tee,1,24.99,,,0.00,0.00,4.35,0,24.99,USD,4032739855,1349153380,03/28/2024,03/31/2024,3249766829,"Colors:White,Sizes:XL",online,listing,online_cc,,,0,21568756455511202831
03/27/24,Sacramento Basketball Sticker Pack,1,13.99,FINISHSTRONG,FINISHSTRONG - % off,1.40,0.00,4.79,0,13.99,USD,4029672810,1393807246,03/27/2024,03/28/2024,3248256157,"Sizes:8.5&quot; × 11&quot;,Types:White",online,listing,online_cc,,,0,44319090067557825456
03/26/24,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,1,7.25,KINGSFTW,KINGSFTW - % off,0.73,0.00,0.75,0,7.25,USD,4028411498,1363252265,03/26/2024,03/26/2024,3252938604,Sizes:5&quot; × 5&quot;,online,listing,online_cc,,,0,25181156153647157078
03/24/24,Light the Beam Sacramento Basketball Tee Women's Flowy Cropped Tee,1,25.00,,,0.00,0.00,4.8,0,25,USD,4027843677,1370067167,03/24/2024,03/27/2024,3251720342,"Colors:Black,Sizes:S",online,listing,online_cc,,,0,12575697729601309187
03/22/24,Light the Beam Retro Stripes Sacramento Basketball Holographic Die-cut Sticker,1,6.50,FINISHSTRONG,FINISHSTRONG - % off,0.65,0.00,4.49,0,6.5,USD,4023629296,1373427587,03/22/2024,03/23/2024,3243477195,Sizes:3&quot; × 3&quot;,online,listing,online_cc,,,0,15409398041834186687
03/19/24,Light the Beam Sacramento Basketball Tee,1,31.62,,,0.00,4.40,0,0,31.62,USD,4020603413,1349153380,03/19/2024,03/20/2024,3240159235,"Colors:White,Sizes:5XL",online,listing,online_cc,,,0,10957251392503819796
03/19/24,Light The Beam Crown Die Cut Sticker,1,5.00,,,0,0,0,0,5,USD,4020603411,1608707534,03/19/2024,03/20/2024,3240159235,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
